district	total_area	repair	year	distance	cost
2.0	65	-1	5	12	0.365
3.0	57	0	3	9	0.37
2.0	59	-1	0	11	0.3434475
1.0	45	-1	58	7	0.225
1.0	43	0	45	7	0.27
2.0	52	-1	64	2	0.27
2.0	55	-1	0	7	0.349
2.0	43	0	53	5	0.23
3.0	59	0	6	4	0.38
2.0	43	0	45	3	0.239
2.0	48	-1	44	4	0.35
1.0	47	0	34	4	0.3
1.0	47	0	33	2	0.345
2.0	43	0	40	6	0.27
0.0	44	0	58	0	0.32
0.0	73	-1	1	3	0.72
0.0	59	0	51	1	0.455
2.0	45	-1	28	2	0.305
1.0	43	-1	45	4	0.3
1.0	54	0	18	3	0.38
3.0	57	0	11	11	0.34
1.0	47	0	23	2	0.41
0.0	68	-1	1	3	0.67
2.0	44	-1	51	6	0.28
1.0	43	0	55	4	0.32
1.0	43	-1	56	4	0.2299
3.0	42	-1	57	9	0.225
2.0	41	-1	3	11	0.245
1.0	42	0	51	6	0.28800000000000003
1.0	52	0	10	4	0.465
0.0	56	-1	56	1	0.423
1.0	78	0	10	3	0.6195
0.0	43	0	53	0	0.3615
2.0	61	0	3	15	0.33
2.0	44	0	40	2	0.23199999999999998
2.0	67	-1	1	7	0.35600000000000004
1.0	64	0	3	9	0.4149
2.0	48	0	36	6	0.299
1.0	43	0	58	3	0.25
2.0	44	0	57	13	0.17
3.0	83	0	5	5	0.475
0.0	57	0	62	1	0.42
3.0	47	0	38	10	0.278
1.0	66	0	11	5	0.45
3.0	71	-1	3	10	0.33899999999999997
1.0	88	0	13	7	0.81
1.0	65	0	18	8	0.45
1.0	38	0	58	3	0.27
3.0	44	0	39	12	0.235
0.0	53	-1	59	1	0.42
0.0	52	-1	58	2	0.395
3.0	36	0	16	8	0.2549
1.0	87	-1	18	8	0.56
2.0	39	0	56	5	0.28
3.0	51	0	4	9	0.32
2.0	46	0	23	7	0.2678
1.0	67	0	10	9	0.43799999999999994
2.0	44	0	59	5	0.235
2.0	39	0	58	4	0.25
3.0	76	-1	16	10	0.315
1.0	45	0	57	4	0.285
2.0	45	0	29	2	0.295
1.0	65	0	7	2	0.585
2.0	47	0	32	7	0.3
3.0	56	0	11	6	0.32
2.0	40	0	52	3	0.28
1.0	47	0	25	3	0.499
1.0	48	-1	32	3	0.32899999999999996
1.0	46	0	58	1	0.21899999999999997
2.0	60	-1	1	7	0.2999
1.0	44	0	53	2	0.3
1.0	65	0	15	3	0.485
3.0	61	-1	1	8	0.449
3.0	45	0	51	11	0.235
0.0	42	0	45	2	0.319
3.0	44	-1	41	11	0.223
3.0	59	0	10	4	0.365
1.0	69	0	11	2	0.64
1.0	52	0	33	0	0.365
1.0	65	-1	4	4	0.95
1.0	65	0	11	7	0.58
3.0	58	0	10	4	0.38
2.0	37	0	30	8	0.25
2.0	69	-1	1	2	0.53
0.0	68	-1	58	1	0.41
1.0	60	0	60	2	0.33
0.0	44	0	57	1	0.27899999999999997
1.0	45	0	60	3	0.335
2.0	40	0	58	2	0.23
